Photovoltaics.alphaModule,Photovoltaics.betaModule,Photovoltaics.PPeak,BatteryStorage.EBattNominal,BatteryStorage.SOCMax,BatteryStorage.SOCMin,batteryControllerDT1.lowerLimit,batteryControllerDT1.upperLimit,HeatingAndCooling.HeatGeneration.HeatStorage.VStorage,Investment costs,Yearly total costs,Yearly CO2 emissions,Resilience,Mean battery state of charge,Yearly energy discharged from battery,Maximum power peak,SOC Time proportion,Yearly energy fed into the grid,Maximum feed-in power peak,posResilience
0.510881488,0.975289161,0.492849694,0.4666975935257439,0.993840999,0.164105142,0.037514438,0.1027892457730369,0.015455736,349560.4808,330818.992503572,2133.71831,-1014.156523,0.143131732067045,412.0058027,333428.1947,1.0,11536.66534,68655.76411,1014.15652259898
0.122803036,0.309734568,0.188685185,0.829030517,0.4093570805779079,0.277229109,0.8031604687523181,0.435728166,0.823523633,344858.6846,337084.6078,2154.6382156160103,-526.4913515,0.103972945,494.720620779508,333428.1953,1.0,0.0,0.0,526.4913515
0.121459755,0.7446086541788509,0.050331803,0.583919494,0.9816424185221508,0.3630493639912829,0.7987863672773791,0.7715155811833749,0.821964796,286305.737,334426.9404,2150.325138,-914.9942931,0.1999523696049429,0.013737965,333428.1932,1.0,0.0,0.0,914.9942931
0.089939847,0.054477329,0.45004642,0.434628912,0.247517187,0.4584404123246189,0.094273837,0.339589347,0.177055245,179305.3966,335290.7529,2153.856233,-1265.38034,0.199951977352416,0.013851173,333428.1936,1.0,0.0,0.0,1265.3803397648198
0.3948871870275471,0.912612399,0.478878688,0.23062372,0.98308118,0.326405037684419,0.821688792,0.6592732520690749,0.454570531,317814.1813,334243.8159,2144.6031,-944.6228407,0.199952325,0.013750671,333428.19339671603,1.0,1092.066737,15839.97987,944.6228407
0.848098576,0.468276315,0.5963027821484019,0.8035683604315209,0.413480138,0.417841126,0.89643433,0.438369541,0.894245086,279983.5952,335465.2187,2150.4423,-2136.02307,0.946285554,2115.0302371923603,333428.2193,0.997312129,0.0,0.0,2136.0230695230302
0.2980346833909699,0.5835203512556899,0.628074899,0.851942902,0.112310932,0.881635943,0.097876342,0.091068291,0.3696496630292061,473990.2837,325712.0301,2117.512062,-3469.601101,0.687490592,4608.710561,333428.1927,0.000783962,33080.46463,157919.8189,3469.601101
0.512315477,0.5076745440841599,0.606132939,0.7285855394167221,0.425045688,0.9792090420843408,0.161738824018493,0.995129881,0.272469962353555,499906.2527,329719.4309,2128.1868202455607,-1841.235555,0.199951652,0.01394508,333428.1931,1.0,16986.275875156498,94976.22803,1841.235555
0.069135702,0.92861328,0.632949019,0.61001945,0.049233867,0.873712209,0.716625241,0.072000592,0.9079253300617628,459667.8533,328891.2079,2124.6874503596105,-1576.211525,0.199951773,0.013910131,333428.1931,1.0,24326.7077,126971.1476,1576.211525
0.215703329,0.5287417,0.943940781,0.1405519778982699,0.268614474,0.019100185,0.044227086,0.133485206,0.01121791,441855.98371000006,328985.9765,2130.0895105190307,-1321.457577,0.199951933,0.013863863,333428.1936,1.0,5350.976503,43369.2789932684,1321.45757686229
0.279903615,0.11563465,0.130533918,0.098853679,0.411346029,0.8682346533544519,0.282551655510988,0.469943995,0.737887686,461980.0247,327239.361806292,2117.25984,-64.30203616,0.041289153,247.1656628,333428.2026,1.0,28006.22881,154427.3334,64.30203616
0.993013323,0.848488715,0.525875349,0.551298928,0.500952911,0.734053901,0.495132534,0.517046752,0.297183608121968,93752.70775,334954.9748,2152.440488313889,-223.1902277,0.199956359401051,0.012586344,333428.1928,1.0,0.0,0.0,223.19022768607
0.855737092,0.7446731360837141,0.301466604650541,0.9777173952618392,0.8615404486178391,0.741864039,0.758095352,0.757091822,0.263475276,380280.8743,335971.8239,2151.5515934601003,-1195.294538,0.199952038,0.013833568,333428.193,1.0,0.0,0.0,1195.294538
0.177528623,0.586641889,0.493597909,0.241824778,0.493658965,0.966794573,0.621530377,0.3489995781015759,0.4584007637868671,387726.0351,335067.72,2148.23243,-2111.480567,0.19995156,0.0139717114633589,333428.1934,1.0,862.6975043,16514.52295,2111.480567
0.5458829205965551,0.560616239,0.008491298,0.628344275,0.330739886,0.667609452,0.794526456,0.6519142818394009,0.547897761,289092.2279,331525.49234522803,2135.544424,-530.360302,0.199953367,0.013449944,333428.1935,1.0,7879.357061,52687.50168,530.360302
